# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	803
#@/user_id	5a29dfa3-18c7-4ecc-83e9-ffd4eff60ca8
a 	啊	c=1 d=1 t=148
a 	阿	c=4 d=2.14166 t=778
ai 	愛	c=2 d=1.9802 t=586
an 	按	c=2 d=1.956 t=706
an men 	安門	c=0 d=0.112493 t=479
ba 	把	c=2 d=1.63128 t=437
bao 	保	c=1 d=1 t=521
bei 	被	c=2 d=1.10861 t=510
bei jing ren 	北京人	c=2 d=1.37908 t=211
ben ci 	本次	c=1 d=1 t=730
bi ji 	筆記	c=3 d=1.06581 t=782
bi jiao 	比較	c=0 d=0.1 t=753
bi ru 	比如	c=1 d=1 t=386
bian 	便	c=1 d=1 t=144
bian yi qi 	編譯器	c=3 d=2.67911 t=204
biao 	標	c=1 d=1 t=794
biao 	表	c=3 d=1.17031 t=715
biao da 	表達	c=0 d=0.1 t=68
biao da yu 	表達欲	c=1 d=1 t=69
bie ren 	別人	c=1 d=1 t=761
bing bu 	並不	c=1 d=1 t=232
bo wu guan 	博物館	c=1 d=1 t=538
bu 	不	c=1 d=1.01347 t=665
bu da 	不大	c=1 d=1 t=748
bu deng jia 	不等價	c=1 d=1 t=265
bu duo 	不多	c=1 d=1 t=765
bu hao 	不好	c=1 d=1 t=734
bu ke qi 	不客氣	c=1 d=1 t=44
bu nan 	不難	c=1 d=1 t=125
bu neng 	不能	c=2 d=1.95123 t=380
bu shi 	不是	c=2 d=1.19593 t=740
bu ying 	不應	c=1 d=1 t=187
cai ce 	猜測	c=1 d=1 t=28
cai dao 	猜到	c=1 d=1 t=615
cai fang 	採訪	c=1 d=1 t=787
cai fu 	財富	c=1 d=1 t=788
can shu 	參數	c=1 d=1 t=329
cang 	藏	c=1 d=1 t=539
cao 	操	c=1 d=1 t=768
cao 	草	c=4 d=1.18491 t=576
cao zuo 	操作	c=3 d=1.11125 t=752
ce shi 	測試	c=1 d=1 t=535
cha 	查	c=1 d=1 t=24
cha bie 	差別	c=1 d=1 t=664
cha xun 	查詢	c=1 d=1 t=670
chang 	廠	c=1 d=1 t=446
chang yong 	常用	c=1 d=1 t=532
chao guo 	超過	c=1 d=1 t=381
chao shi 	潮溼	c=1 d=1 t=566
che ku 	車庫	c=1 d=1 t=608
chen yi xun 	陳奕迅	c=4 d=2.58696 t=331
cheng 	成	c=2 d=1.64082 t=188
cheng guan 	城管	c=1 d=1.01237 t=481
chong zhuang 	重裝	c=1 d=1 t=55
chu 	處	c=1 d=1 t=634
chu fei 	除非	c=1 d=1 t=199
chun 	春	c=1 d=1 t=213
cong ming 	聰明	c=2 d=1.77492 t=219
cuo wu 	錯誤	c=1 d=1 t=49
da 	大	c=2 d=1.18825 t=666
da kai 	打開	c=2 d=1.50662 t=277
da suan 	打算	c=1 d=1 t=436
da xiao xie 	大小寫	c=2 d=1.51171 t=255
da xie 	大寫	c=2 d=1.89137 t=152
dai ma 	代碼	c=1 d=1 t=183
dan 	但	c=1 d=1 t=506
dan shi 	但是	c=1 d=1 t=268
dan teng 	蛋疼	c=1 d=1 t=458
dao 	到	c=4 d=1.81816 t=646
de 	得	c=1 d=1 t=369
de 	的	c=38 d=7.21736 t=770
de dao 	得到	c=2 d=1.40252 t=318
de yi 	得以	c=1 d=1 t=145
deng jia 	等價	c=2 d=1.76598 t=276
deng jia yu 	等價於	c=1 d=1 t=233
deng li jun 	鄧麗君	c=1 d=1 t=581
di 	低	c=1 d=1 t=403
di 	地	c=0 d=0.112493 t=479
di 	第	c=2 d=1.96079 t=305
di an men 	地安門	c=1 d=1 t=480
di an men cheng guan 	地安門城管	c=1 d=1 t=64
di xia 	地下	c=1 d=1 t=607
di zhi 	地址	c=1 d=1 t=590
dian 	點	c=1 d=1 t=688
die ting 	跌停	c=0 d=0.1 t=407
die ting jia 	跌停價	c=1 d=1 t=408
ding 	丁	c=1 d=1 t=476
ding qiang 	丁強	c=2 d=1.99005 t=477
dong 	棟	c=0 d=0.1 t=609
dou yin 	抖音	c=1 d=1 t=82
dou you 	都有	c=1 d=1 t=415
du 	讀	c=1 d=1 t=658
du shu 	讀數	c=2 d=1.65051 t=731
du zong 	杜總	c=1 d=1 t=419
duan kou 	端口	c=1 d=1 t=338
dui 	對	c=1 d=1 t=501
dui xiang 	對象	c=1 d=1 t=780
dui ying 	對應	c=4 d=2.66991 t=319
dun 	噸	c=5 d=4.12538 t=717
duo 	多	c=1 d=1 t=328
duo xie 	多謝	c=1 d=1 t=556
er 	二	c=1 d=1 t=238
er 	而	c=3 d=2.50828 t=301
er jin zhi 	二進制	c=7 d=5.92154 t=295
fa sheng 	發生	c=1 d=1 t=48
fa xian 	發現	c=1 d=1.02491 t=508
fan hou 	飯後	c=1 d=1 t=364
fang 	坊	c=1 d=1 t=544
fang 	房	c=2 d=1.86936 t=627
fang huo qiang 	防火牆	c=1 d=1 t=336
fang xiang 	方向	c=1 d=1 t=609
fei 	費	c=1 d=1 t=755
fu 	服	c=0 d=0.1 t=466
fu wu qi 	服務器	c=2 d=1.99005 t=533
gan jue 	感覺	c=1 d=1 t=738
gao ying 	高盈	c=1 d=1 t=460
ge 	個	c=2 d=1.20089 t=654
gei wo 	給我	c=1 d=1 t=491
gen ju 	根據	c=1 d=1 t=668
geng 	更	c=1 d=1 t=704
geng jia 	更加	c=1 d=1 t=193
geng xin 	更新	c=1 d=1 t=45
gong cheng shi 	工程師	c=2 d=1.68045 t=547
gong fu 	功夫	c=1 d=1 t=756
gong ju 	工具	c=2 d=1.09117 t=536
gong si 	公司	c=1 d=1 t=792
gu 	故	c=2 d=1.90032 t=124
gu ji 	估計	c=1 d=1 t=745
gu jia 	股價	c=1 d=1 t=378
gu piao 	股票	c=1 d=1 t=388
gu shi 	股市	c=1 d=1 t=375
guan li 	管理	c=3 d=1.12462 t=790
gui ding 	規定	c=1 d=1 t=376
guo 	過	c=1 d=1 t=652
guo wang 	過往	c=1 d=1 t=671
hai shi 	還是	c=3 d=1.47218 t=775
hai zao 	海藻	c=2 d=1.98511 t=574
hao 	好	c=3 d=1.6434 t=613
hao 	號	c=1 d=1 t=593
hao de 	好的	c=1 d=1 t=558
he ji 	合集	c=1 d=1 t=796
hei si 	黑死	c=1 d=1 t=771
hen 	很	c=1 d=1 t=117
hong 	宏	c=2 d=1.99005 t=114
hou 	後	c=2 d=1.13332 t=719
hou lai 	後來	c=2 d=1.04642 t=651
hu zhu 	戶主	c=1 d=1 t=600
hua wei 	華爲	c=1 d=1 t=335
hui 	會	c=2 d=1.90032 t=747
hui fu 	恢復	c=1 d=1 t=50
hui yong 	會用	c=1 d=1 t=249
huo 	或	c=2 d=1.40052 t=314
huo 	活	c=1 d=1 t=522
ji 	及	c=1 d=1 t=729
ji cheng 	繼承	c=1 d=1 t=569
ji ge 	幾個	c=1 d=1 t=440
ji huo 	激活	c=1 d=1 t=65
ji lu 	記錄	c=1 d=1 t=638
ji ran 	既然	c=1 d=1 t=210
ji shu 	技術	c=1 d=1 t=72
jia 	價	c=1 d=0.393758 t=407
jia 	加	c=1 d=1 t=580
jia yong 	家用	c=1 d=1 t=58
jian li 	簡歷	c=1 d=1 t=555
jian shen 	健身	c=2 d=1.8311 t=59
jian yi 	建議	c=1 d=1 t=343
jiang 	將	c=1 d=1 t=127
jiang 	蔣	c=0 d=0.1 t=550
jiang 	講	c=1 d=1 t=520
jiang lao shi 	蔣老師	c=1 d=1 t=551
jiao 	叫	c=1 d=1 t=618
jiao fei 	繳費	c=2 d=1.66698 t=718
jiao jing 	交警	c=1 d=1 t=530
jiao yi ri 	交易日	c=1 d=1 t=383
jie 	結	c=1 d=1 t=9
jie gou 	結構	c=1 d=1 t=102
jie huo 	解惑	c=1 d=1 t=146
jin 	金	c=1 d=1 t=541
jin gu 	禁錮	c=1 d=1 t=67
jin ke neng 	儘可能	c=1 d=1 t=191
jin tian 	今天	c=1 d=1 t=395
jin xian yu 	僅限於	c=1 d=1 t=504
jin you 	僅有	c=1 d=1 t=304
jing chang 	經常	c=1 d=1 t=509
jiu hui 	就會	c=0 d=0.1 t=230
jiu hui fa xian 	就會發現	c=1 d=1 t=231
jiu neng 	就能	c=1 d=1 t=317
jiu shi 	就是	c=3 d=2.36754 t=407
ju jue 	拒絕	c=1 d=1 t=443
ju ti 	具體	c=1 d=1 t=676
ka fei 	咖啡	c=1 d=1 t=579
kai fa 	開發	c=2 d=1.08006 t=546
kan 	看	c=4 d=1.35142 t=722
kan kan 	看看	c=1 d=1 t=763
ke jian 	可見	c=1 d=1 t=280
ke yi 	可以	c=3 d=1.51991 t=426
kou 	口	c=1 d=1 t=594
ku 	庫	c=1 d=1 t=3
kuai 	塊	c=2 d=1.93239 t=406
kuo zhan 	擴展	c=3 d=2.98012 t=801
la 	啦	c=2 d=1.9802 t=561
lai 	來	c=1 d=1 t=253
lao 	老	c=1 d=1 t=690
lao shi 	老師	c=0 d=0.1 t=550
le 	了	c=12 d=5.71119 t=693
li 	裏	c=1 d=1 t=248
li fa 	理髮	c=1 d=1 t=357
li zong sheng 	李宗盛	c=1 d=1 t=89
lian shi zhi 	連史紙	c=1 d=1 t=545
liang ge 	兩個	c=2 d=1.5627 t=226
liang hua 	量化	c=1 d=1.09802 t=464
liang hua yun 	量化雲	c=1 d=1 t=461
liang zhe 	兩者	c=2 d=1.4832 t=272
liao xiang 	料想	c=1 d=1 t=96
lin shi 	臨時	c=1 d=1 t=346
ling sui 	零碎	c=1 d=1 t=106
ling yi 	另一	c=0 d=0.1 t=609
ling yi dong 	另一棟	c=1 d=1 t=610
ling yu 	領域	c=1 d=1 t=744
liu 	留	c=1 d=1 t=720
lo 	咯	c=1 d=1 t=164
lu 	路	c=1 d=1 t=592
lu 	鹿	c=2 d=1.97045 t=25
luo da you 	羅大佑	c=2 d=1.9802 t=589
ma 	碼	c=5 d=4.10972 t=291
mai 	買	c=1 d=1 t=625
mang guo 	芒果	c=1 d=1 t=466
me 	麼	c=2 d=1.66698 t=498
mei 	沒	c=1 d=1 t=455
mei ge 	每個	c=1 d=1 t=151
mei guan xi 	沒關係	c=1 d=1 t=667
mei jiu 	美酒	c=1 d=1 t=577
mei shi 	沒事	c=1 d=1 t=429
mei you 	沒有	c=2 d=1.2334 t=732
mei yue 	每月	c=1 d=1 t=673
mi ma 	密碼	c=2 d=1.22993 t=347
ming tian 	明天	c=1 d=1 t=617
ming zi 	名字	c=1 d=1 t=116
mo ban 	模板	c=4 d=3.97017 t=327
mo ren 	默認	c=2 d=1.23931 t=337
mo xing 	模型	c=1 d=1 t=781
mou 	某	c=1 d=1 t=463
mu ce 	目測	c=1 d=1 t=750
na 	那	c=2 d=1.79453 t=439
na dao shi 	那倒是	c=1 d=1 t=456
na jiu 	那就	c=1 d=1 t=559
na li 	哪裏	c=1 d=1 t=351
na me 	那麼	c=2 d=1.79915 t=243
na me shuo 	那麼說	c=1 d=1 t=160
nan hu 	南湖	c=1 d=1 t=591
nan jing 	南京	c=1 d=1 t=767
ne 	呢	c=2 d=1.07887 t=764
nei cun 	內存	c=1 d=1 t=570
neng 	能	c=3 d=1.38137 t=490
ni 	你	c=9 d=1.96607 t=759
nian 	年	c=9 d=5.70416 t=758
nian qian 	年前	c=1 d=1 t=438
nv 	女	c=1 d=1 t=334
o 	哦	c=2 d=1.40454 t=340
ou 	歐	c=1 d=1 t=16
pang 	胖	c=1 d=1 t=81
pei xun 	培訓	c=1 d=1 t=492
pei zhi 	配置	c=1 d=1 t=46
peng min zhi 	彭敏之	c=3 d=1.51379 t=785
ping gu 	評估	c=1 d=1 t=735
ping jun 	平均	c=1 d=1 t=672
qi cai 	器材	c=1 d=1 t=60
qi ji 	奇跡	c=1 d=1 t=21
qi lai 	起來	c=2 d=1.96561 t=753
qia hao 	恰好	c=2 d=1.98511 t=275
qia qia 	恰恰	c=1 d=1 t=303
qian yi 	前一	c=1 d=1 t=382
qie 	且	c=1 d=1 t=220
qing jian 	請柬	c=2 d=1.99501 t=526
qing kuang 	情況	c=1 d=1 t=262
qing xi 	清晰	c=2 d=1.95123 t=194
qu 	去	c=4 d=1.82324 t=620
que 	卻	c=3 d=2.72577 t=302
que ren 	確認	c=1 d=1 t=679
ran hou 	然後	c=1 d=1 t=713
ren 	人	c=1 d=1 t=70
ren 	任	c=0 d=0.1 t=224
ren xie chu 	任寫出	c=1 d=1 t=225
ri 	日	c=1 d=1 t=648
rong 	蓉	c=1 d=1 t=596
ru 	如	c=1 d=1 t=234
ru guo 	如果	c=1 d=1 t=169
ru he 	如何	c=1 d=1 t=54
ruan jian 	軟件	c=2 d=1.19593 t=795
shan chang 	擅長	c=1 d=1 t=742
shang 	上	c=4 d=2.75054 t=724
shang hai 	上海	c=2 d=1.68729 t=537
shang qi 	上期	c=1 d=1 t=459
shang sheng 	上升	c=1 d=1 t=379
shao fu 	少婦	c=1 d=1 t=773
she me 	什麼	c=2 d=1.96561 t=85
she zhi 	設置	c=2 d=1.15567 t=424
shen ru 	深入	c=1 d=1 t=779
shen xin 	深信	c=0 d=0.1 t=466
shen xin fu 	深信服	c=1 d=1 t=467
shi 	是	c=14 d=3.46209 t=639
shi 	時	c=1 d=1 t=47
shi 	石	c=1 d=1 t=542
shi fou 	是否	c=1 d=1 t=725
shi ji 	實際	c=1 d=1 t=751
shi jian 	時間	c=1 d=1 t=728
shi jin zhi 	十進制	c=4 d=3.9407 t=241
shi xian 	實現	c=1 d=1 t=519
shi yong 	使用	c=1 d=1 t=192
shi yong 	實用	c=1 d=1 t=56
shou ju 	收據	c=2 d=1.99005 t=723
shou pan jia 	收盤價	c=2 d=1.97045 t=390
shu 	數	c=0 d=0.1 t=160
shu 	書	c=1 d=1 t=478
shu 	樹	c=1 d=1 t=518
shu ju ku 	數據庫	c=4 d=3.72586 t=512
shu xu guan 	鼠鬚管	c=1 d=1 t=18
shu zi 	數字	c=2 d=1.1054 t=677
shua xin 	刷新	c=1 d=1 t=348
shui 	水	c=1 d=1 t=694
shui 	誰	c=1 d=1 t=409
shui biao 	水錶	c=3 d=2.52744 t=691
shui fei 	水費	c=1 d=1 t=681
shuo 	說	c=1 d=1.00721 t=685
